		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111011010   63   65   53   66   47   60   58   60  4.999177 0.757664 SUCCESS 130
111011100   69   59   63   55   62   69   44   46 11.137236 0.194044 SUCCESS 131
111100000   70   58   48   62   62   52   50   62  6.984545 0.538301 SUCCESS 132
111100010   58   61   56   68   59   50   60   51  4.181854 0.840354 SUCCESS 133
111100100   61   58   59   65   74   51   54   66  7.218085 0.513296 SUCCESS 134
111100110   49   83   63   64   44   52   51   58 18.519791 0.017650 SUCCESS 135
111101000   67   49   62   60   59   63   52   49  5.891507 0.659383 SUCCESS 136
111101010   52   75   59   63   58   70   63   46 11.143349 0.193708 SUCCESS 137
111101100   61   60   54   51   64   57   83   64 12.885835 0.115838 SUCCESS 138
111101110   74   50   60   59   57   60   49   50  8.585876 0.378425 SUCCESS 139
111110000   46   60   58   57   63   48   48   64  7.868426 0.446427 SUCCESS 140
111110010   64   51   62   71   71   55   56   58  7.358759 0.498466 SUCCESS 141
111110100   67   51   57   65   56   56   61   50  4.709381 0.788138 SUCCESS 142
111110110   61   60   51   55   57   50   70   71  7.674794 0.465864 SUCCESS 143
111111000   47   59   66   51   61   49   53   54  7.208194 0.514346 SUCCESS 144
111111010   58   54   56   74   55   70   50   40 14.656415 0.066181 SUCCESS 145
111111100   52   60   63   51   60   41   53   74 12.473156 0.131308 SUCCESS 146
111111110   63   65   44   63   60   47   43   72 15.078436 0.057638 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   44   42   50   61   59   60   63   52 11.419957 0.179020 SUCCESS   0
000000011   60   55   35   61   70   59   64   61 13.093068 0.108687 SUCCESS   1
000000101   60   51   54   54   60   73   55   70  7.934573 0.439887 SUCCESS   2
000000111   71   63   45   62   60   60   60   59  6.530652 0.588010 SUCCESS   3
000001001   45   51   57   59   59   58   68   49  7.671016 0.466248 SUCCESS   4
000001011   54   57   53   64   59   68   55   64  3.746714 0.879222 SUCCESS   5
000001101   56   50   59   68   60   52   71   60  6.468283 0.594928 SUCCESS   6
000001111   67   74   45   68   58   53   55   67 12.117281 0.146047 SUCCESS   7
000010001   53   57   56   67   51   57   60   75  7.734347 0.459841 SUCCESS   8
000010011   56   55   46   53   62   51   63   52  6.245046 0.619804 SUCCESS   9
