		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001101011   69   58   49   53   59   59   52   57  4.995880 0.758016 SUCCESS  44
001101101   54   64   56   67   52   56   61   42  8.204175 0.413784 SUCCESS  45
001101111   53   50   72   65   59   68   59   70  9.382592 0.311056 SUCCESS  46
001110101   63   46   59   44   64   54   54   64  8.810006 0.358576 SUCCESS  47
001110111   49   61   69   55   62   63   62   60  4.550436 0.804366 SUCCESS  48
001111011   56   61   55   55   62   53   66   64  2.889071 0.941125 SUCCESS  49
001111101   50   58   52   62   52   55   61   67  4.703748 0.788720 SUCCESS  50
001111111   67   60   53   68   57   59   70   59  5.546417 0.697892 SUCCESS  51
010000011   49   60   73   35   47   63   57   64 18.516494 0.017671 SUCCESS  52
010000111   50   47   54   60   63   48   58   64  7.094721 0.526448 SUCCESS  53
010001011   68   59   76   60   67   56   51   53  9.693476 0.287202 SUCCESS  54
010001111   63   52   62   63   70   57   81   49 14.225052 0.076085 SUCCESS  55
010010011   59   67   55   63   48   57   61   50  5.304428 0.724598 SUCCESS  56
010010111   56   62   65   65   55   48   57   49  5.723633 0.678157 SUCCESS  57
010011011   61   59   63   67   59   60   48   63  3.963357 0.860414 SUCCESS  58
010011111   62   64   49   60   66   46   71   74 12.837066 0.117580 SUCCESS  59
010100011   63   59   60   50   55   85   58   58 14.040761 0.080709 SUCCESS  60
010100111   73   52   59   68   58   47   57   68  9.850085 0.275706 SUCCESS  61
010101011   59   57   54   53   47   45   54   59  7.267266 0.508090 SUCCESS  62
010101111   63   57   41   53   68   52   51   61  9.992133 0.265579 SUCCESS  63
010110011   63   48   59   65   63   61   62   73  7.153381 0.520178 SUCCESS  64
010110111   61   68   57   59   65   49   55   56  4.387713 0.820559 SUCCESS  65
010111011   68   51   61   55   71   59   49   49  8.894424 0.351280 SUCCESS  66
010111111   56   60   54   65   62   47   62   55  4.308928 0.828231 SUCCESS  67
011000111   56   72   66   70   70   68   66   46 13.795544 0.087253 SUCCESS  68
011001111   74   62   59   69   67   69   56   69 11.039286 0.199483 SUCCESS  69
011010111   69   57   43   56   61   61   54   58  7.003297 0.536277 SUCCESS  70
011011111   50   43   65   60   58   56   53   68  8.685749 0.369495 SUCCESS  71
011101111   52   50   60   64   69   60   54   53  5.529039 0.699821 SUCCESS  72
011111111   57   55   47   78   56   54   70   69 13.816150 0.086685 SUCCESS  73
100000000   50   68   46   65   64   55   50   64  8.975545 0.344363 SUCCESS  74
100010000   52   54   58   61   54   54   61   68  3.700280 0.883103 SUCCESS  75
100100000   49   74   81   64   54   61   55   53 16.224020 0.039284 SUCCESS  76
100101000   47   62   54   49   59   73   52   68 10.571725 0.227166 SUCCESS  77
100110000   61   68   59   66   68   56   57   71  6.777793 0.560786 SUCCESS  78
100111000   60   52   58   58   54   57   60   66  2.261191 0.971939 SUCCESS  79
101000000   55   50   65   65   59   59   59   71  5.583921 0.693726 SUCCESS  80
101000100   52   67   59   49   45   62   71   68 11.318711 0.184286 SUCCESS  81
101001000   48   65   69   54   61   72   72   61 11.252152 0.187817 SUCCESS  82
101001100   53   70   69   61   57   59   64   61  5.324622 0.722383 SUCCESS  83
101010000   57   58   50   52   53   69   61   66  5.661745 0.685062 SUCCESS  84
101010100   59   66   57   58   35   51   48   50 15.434310 0.051231 SUCCESS  85
101011000   52   63   53   59   67   54   63   63  3.922556 0.864042 SUCCESS  86
101011100   54   49   47   45   43   59   57   57 12.409344 0.133853 SUCCESS  87
101100000   59   70   58   45   53   63   48   49 10.213927 0.250331 SUCCESS  88
