		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.804688	M = 30116	N = 8	m = 9	n = 240932
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000000101   56   28   21   19   15   13   14   25 195.851406 0.000000 FAILURE   2
000000111   46   16   20   13   21   17   13   51 192.305321 0.000000 FAILURE   3
000001001   51   48   43   26   31   34   36   28 76.686360 0.000000 FAILURE   4
000001011   58   29   31   17   29   17   22   17 160.863424 0.000000 FAILURE   5
000001101   72   34   33   21   19   16   25   37 139.259673 0.000000 FAILURE   6
000001111   57   34   39   32   37   33   28   46 70.048373 0.000000 FAILURE   7
000010001   60   56   48   35   40   42   46   45 29.599486 0.000249 FAILURE   8
000010011   65   64   44   36   37   30   39   63 44.306424 0.000000 FAILURE   9
000010101   60   23   22   22   17   23   25   60 143.603943 0.000000 FAILURE  10
000010111   61   75   45   34   47   28   27   52 56.606716 0.000000 FAILURE  11
000011001   63   46   28   51   39   36   43   39 48.282512 0.000000 FAILURE  12
000011011   51   29   55   43   34   32   43   55 49.440086 0.000000 FAILURE  13
000011101   44   66   31   24   30   21   26   46 101.190504 0.000000 FAILURE  14
000011111   52   53   42   56   67   58   60   51  8.799690 0.359475 SUCCESS  15
000100011   57   68   72   58   62   70   74   54 11.467084 0.176611 SUCCESS  16
000100101   57   50   86   66   63   72   79   40 32.097901 0.000089 FAILURE  17
000100111   64   99   67   65   58   55   64   66 32.392721 0.000079 FAILURE  18
000101001   64   45   86   47   54   95   63   87 57.014464 0.000000 FAILURE  19
000101011   54   24   35   56   49   47   66   26 55.785726 0.000000 FAILURE  20
000101101   59   64   59   39   51   58   53   44 12.902443 0.115251 SUCCESS  21
000101111   52   99   53   67   72   46   58   40 43.173578 0.000001 FAILURE  22
000110011   58   43   21   45   38   40   41   40 58.509447 0.000000 FAILURE  23
000110101   62   64   41   47   78   57   46   32 30.733431 0.000157 FAILURE  24
000110111   51   59   88   75   53   78   78   99 62.635006 0.000000 FAILURE  25
000111001   52   50   79   73   47   77   80   57 29.122223 0.000302 FAILURE  26
000111011   43   47   41   43   46   30   46   61 37.251347 0.000010 FAILURE  27
000111101   48   92   56   47  122   69   45   39 106.322518 0.000000 FAILURE  28
000111111   57   65   52  107   87   90   78   72 83.025406 0.000000 FAILURE  29
001000011   54   92   71   67   84   58   62   42 39.899233 0.000003 FAILURE  30
001000101   65  105   77   65   79   75   78   55 63.215854 0.000000 FAILURE  31
001000111   66   77  113  106  108   91  105   60 195.886301 0.000000 FAILURE  32
001001011   62   99  116  109  113   85  112   24 265.199538 0.000000 FAILURE  33
001001101   59   61  103   48   49   78   76   65 50.529519 0.000000 FAILURE  34
001001111   60   90   78  104   92   79   87   63 100.374185 0.000000 FAILURE  35
001010011   63   36   55   40   37   62   44  102 61.132055 0.000000 FAILURE  36
001010101   58   50   48   48   47   61   49  109 54.012134 0.000000 FAILURE  37
001010111   44   27   50   53   65   52   73   29 44.251196 0.000001 FAILURE  38
001011011   64   28   59   54   39   62   61   43 29.121949 0.000302 FAILURE  39
001011101   59  132   92   68  124   74   71   69 198.322620 0.000000 FAILURE  40
001011111   42  119   73   89   76   72   78   61 103.085816 0.000000 FAILURE  41
001100101   70   39   44   73   51   57   64   35 28.066586 0.000462 FAILURE  42
001100111   60   45   26   44   36   45   41   39 51.122182 0.000000 FAILURE  43
001101011   73   45   35   47   63   55   43   32 36.900750 0.000012 FAILURE  44
001101101   62   50   95   60   49   99   61   53 55.384573 0.000000 FAILURE  45
001101111   61   40   57   65   61   58   59   84 18.294932 0.019121 SUCCESS  46
001110101   44   50   26   28   28   28   33   61 85.995588 0.000000 FAILURE  47
001110111   54   49   36   29   35   22   29   93 96.830298 0.000000 FAILURE  48
001111011   53   62   42   46   63   44   50   41 19.722598 0.011438 SUCCESS  49
001111101   72  101   88   73   87   77  111   55 120.865697 0.000000 FAILURE  50
001111111   54   80   54   97   93  103   70   87 105.458665 0.000000 FAILURE  51
010000011   82   40   22   25   18   17   12   31 171.722862 0.000000 FAILURE  52
010000111   53   93   75   68   95   91   71   58 71.145774 0.000000 FAILURE  53
010001011   58  128   83   53  100   83   69   73 140.602162 0.000000 FAILURE  54
010001111   79  101   96  137  157  120  116   90 480.380340 0.000000 FAILURE  55
010010011   64   62  129   62   76  101   72   69 128.878596 0.000000 FAILURE  56
010010111   66  104  117  103  118   72  103   65 230.433289 0.000000 FAILURE  57
