		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110110010   48   57   49   45   56   55   64   52  8.836245 0.356298 SUCCESS 113
110110100   49   70   61   49   64   49   52   57  8.707317 0.367585 SUCCESS 114
110111000   58   54   58   65   56   67   68   56  4.047294 0.852831 SUCCESS 115
110111010   64   47   58   72   61   62   53   53  7.447367 0.489221 SUCCESS 116
110111100   50   61   62   57   81   49   62   53 12.809385 0.118579 SUCCESS 117
111000000   53   47   63   64   56   51   55   62  5.471821 0.706160 SUCCESS 118
111000010   65   69   57   52   66   59   58   51  5.367278 0.717696 SUCCESS 119
111000100   65   58   55   44   52   53   55   66  7.368101 0.497487 SUCCESS 120
111000110   59   64   55   57   56   71   64   57  4.071678 0.850599 SUCCESS 121
111001000   53   63   62   63   70   63   57   44  7.815468 0.451700 SUCCESS 122
111001010   62   60   50   63   61   58   63   60  2.307624 0.970099 SUCCESS 123
111001100   53   58   62   56   65   55   63   68  3.646841 0.887499 SUCCESS 124
111010000   63   44   53   40   46   53   61   61 14.622620 0.066912 SUCCESS 125
111010010   64   50   49   57   56   39   52   52 12.252735 0.140279 SUCCESS 126
111010100   70   66   50   56   46   51   51   67 10.823056 0.211928 SUCCESS 127
111010110   49   60   61   62   66   56   52   51  4.914759 0.766647 SUCCESS 128
111011000   64   58   60   61   66   58   64   62  2.170247 0.975343 SUCCESS 129
111011010   57   76   57   52   76   49   53   69 15.436714 0.051190 SUCCESS 130
111011100   49   63   55   65   55   68   63   61  5.064362 0.750675 SUCCESS 131
111100000   58   52   67   65   63   63   49   64  5.464815 0.706935 SUCCESS 132
111100010   63   56   67   49   59   54   60   48  5.804754 0.669092 SUCCESS 133
111100100   58   61   60   63   67   61   57   41  7.328261 0.501665 SUCCESS 134
111100110   60   57   72   59   63   66   62   66  5.452177 0.708332 SUCCESS 135
111101000   68   57   70   54   54   57   65   54  5.697394 0.681086 SUCCESS 136
111101010   74   66   57   67   58   52   55   57  7.345159 0.499891 SUCCESS 137
111101100   59   59   51   53   66   50   62   54  4.525090 0.806918 SUCCESS 138
111101110   59   50   54   57   55   76   61   52  8.180271 0.416062 SUCCESS 139
111110000   70   54   65   67   59   62   58   62  4.835080 0.775049 SUCCESS 140
111110010   58   54   64   64   64   66   51   55  4.076830 0.850126 SUCCESS 141
111110100   72   44   49   53   57   52   57   47 12.580516 0.127121 SUCCESS 142
111110110   70   60   50   49   73   55   64   55  9.809284 0.278668 SUCCESS 143
111111000   69   61   51   55   52   57   59   53  4.703748 0.788720 SUCCESS 144
111111010   72   62   59   55   63   58   48   56  6.008277 0.646305 SUCCESS 145
111111100   73   65   62   53   51   60   57   82 15.602253 0.048440 SUCCESS 146
111111110   64   54   57   61   55   59   61   70  3.565720 0.894030 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   64   60   62   48   64   68   68   52  6.993474 0.537337 SUCCESS   0
000000011   67   61   50   60   72   65   65   62  7.242950 0.510662 SUCCESS   1
000000101   64   59   65   57   68   52   67   54  5.094379 0.747443 SUCCESS   2
000000111   50   66   58   56   69   62   71   65  7.718892 0.461400 SUCCESS   3
000001001   61   57   65   58   47   72   67   44 11.375447 0.181320 SUCCESS   4
000001011   68   71   64   63   74   54   56   68 10.974101 0.203171 SUCCESS   5
000001101   61   51   61   72   54   57   62   54  5.350861 0.719501 SUCCESS   6
000001111   50   64   71   56   64   65   58   63  6.060343 0.640473 SUCCESS   7
000010001   58   59   61   54   67   69   56   63  3.958205 0.860875 SUCCESS   8
000010011   52   63   58   61   68   69   58   65  5.219117 0.733920 SUCCESS   9
000010101   73   59   44   57   54   60   46   64 11.245077 0.188196 SUCCESS  10
000010111   59   56   54   69   65   49   53   68  6.817151 0.556483 SUCCESS  11
