		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000101001   56   66   57   52   51   53   63   58  3.905658 0.865533 SUCCESS  19
000101011   55   58   65   71   65   61   44   59  8.169968 0.417046 SUCCESS  20
000101101   61   44   69   58   48   57   63   60  8.223408 0.411957 SUCCESS  21
000101111   63   69   56   66   58   65   64   56  4.483396 0.811092 SUCCESS  22
000110011   60   55   46   60   66   48   50   62  7.695400 0.463776 SUCCESS  23
000110101   46   54   51   48   74   54   52   64 12.169759 0.143789 SUCCESS  24
000110111   61   74   55   69   51   50   48   52 11.529240 0.173476 SUCCESS  25
000111001   58   69   50   56   62   67   56   65  5.513584 0.701535 SUCCESS  26
000111011   75   72   65   56   67   54   70   70 14.477825 0.070130 SUCCESS  27
000111101   60   54   65   63   58   60   59   70  3.655289 0.886809 SUCCESS  28
000111111   57   47   56   61   60   64   73   67  7.953806 0.437995 SUCCESS  29
001000011   55   56   59   51   69   60   57   60  3.400181 0.906797 SUCCESS  30
001000101   64   69   70   63   63   63   63   63  6.050521 0.641573 SUCCESS  31
001000111   51   48   56   60   66   66   46   71 10.606893 0.224983 SUCCESS  32
001001011   56   61   63   56   57   49   51   56  3.629463 0.888913 SUCCESS  33
001001101   45   65   59   67   52   61   45   54  9.865059 0.274625 SUCCESS  34
001001111   58   59   61   61   55   63   54   48  3.205106 0.920834 SUCCESS  35
001010011   55   61   51   47   65   62   61   65  5.475118 0.705795 SUCCESS  36
001010101   82   58   72   57   65   63   73   58 17.126241 0.028821 SUCCESS  37
001010111   57   68   62   61   54   63   47   59  4.974793 0.760267 SUCCESS  38
001011011   64   39   58   51   58   48   67   54 12.107390 0.146476 SUCCESS  39
001011101   52   65   62   54   53   57   57   49  4.473505 0.812078 SUCCESS  40
001011111   54   71   69   61   56   52   60   63  6.219769 0.622629 SUCCESS  41
